accuracy,balanced_accuracy,precision_macro,recall_macro,f1_micro,f1_macro,class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,class_10_acc,class_11_acc,class_12_acc,class_13_acc,class_14_acc
0.3243930415284896,0.09933579657651799,0.05984271317149641,0.09933579657651799,0.3243930415284896,0.037577395837441366,0.40393800264998614,0.0,0.0006266645777847407,0.0,0.0,0.04626773596545342,0.03920454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9289467610039192,0.2688904789979131,0.2509579595757172,0.2688904789979131,0.9289467610039192,0.2569013425630706,0.9619068161575788,0.0,0.8444566295890125,0.0,0.7631480522469647,0.0006169031462060457,0.48125,0.0,0.0,0.0,0.9819787838289342,0.0,0.0,0.0,0.0
0.9424084262888152,0.24369841221931837,0.24491726833956992,0.24369841221931837,0.9424084262888152,0.24270248294346974,0.9742000519432498,0.0,0.8361533239333646,0.0,0.8239110420622591,0.040715607649599014,0.0,0.0,0.0,0.0,0.980496157701303,0.0,0.0,0.0,0.0
0.9493318039644257,0.28978778055002974,0.30347969674554354,0.28978778055002974,0.9493318039644257,0.2833242860611861,0.978804512899974,0.0,0.8487127265131339,0.45079057760567925,0.8355486506703492,0.0,0.0,0.0,0.0,0.25,0.9829602405613097,0.0,0.0,0.0,0.0
0.9523501092854989,0.2982314075204159,0.41493291508278957,0.2982314075204159,0.9523501092854989,0.32330711016595365,0.9818301338345711,0.0,0.827145020627709,0.35398515650209744,0.8518470567926808,0.061690314620604564,0.29147727272727275,0.0,0.0,0.125,0.980496157701303,0.0,0.0,0.0,0.0
0.9568852219626168,0.2991228580121612,0.4310882695562675,0.2991228580121612,0.9568852219626168,0.32045466510796927,0.9797597404598298,0.0,0.9293957909029192,0.3736689254598258,0.8672823522642269,0.05120296113510179,0.30056818181818185,0.0,0.0,0.0,0.9849649181423321,0.0,0.0,0.0,0.0
0.9561857005577329,0.31065243186242214,0.41776151920200133,0.31065243186242214,0.9561857005577329,0.3362765907800897,0.9804523171238113,0.0,0.9279857956029035,0.4488544691836076,0.846783474308073,0.17951881554595928,0.29147727272727275,0.0,0.0,0.0,0.9847143334447043,0.0,0.0,0.0,0.0
0.955202366596322,0.31183973376523944,0.39683405201766786,0.31183973376523944,0.955202366596322,0.33396292323411675,0.9800561397948389,0.0,0.8975925635803437,0.48209099709583736,0.8539616778871051,0.18692165330043184,0.29261363636363635,0.0,0.0,0.0,0.9843593384563982,0.0,0.0,0.0,0.0
0.9527940816249623,0.3196869356123126,0.3785448708996416,0.3196869356123126,0.9527940816249623,0.32760099765750045,0.9763159323446507,0.0,0.8559454801817328,0.45079057760567925,0.8881840151907474,0.17951881554595928,0.21079545454545454,0.0,0.0,0.25,0.9837537587704644,0.0,0.0,0.0,0.0
0.9586340254748267,0.3052980171292868,0.3937883698962424,0.3052980171292868,0.9586340254748267,0.32470090121271383,0.9825271124688744,0.0,0.9330513342733302,0.4904808002581478,0.8553282697508487,0.041949413942011106,0.29204545454545455,0.0,0.0,0.0,0.9840878717006348,0.0,0.0,0.0,0.0
0.9573291943020802,0.31503522300218284,0.37688261091564534,0.31503522300218284,0.9573291943020802,0.33358558049980586,0.9797435999019828,0.0,0.9144602851323829,0.45498547918683446,0.8724466309914264,0.22516964836520667,0.29204545454545455,0.0,0.0,0.0,0.9866772469094554,0.0,0.0,0.0,0.0
0.959179275324088,0.3335710660736991,0.3755722027458483,0.3335710660736991,0.959179275324088,0.339184112625614,0.9813048320428224,0.0,0.9212491513917176,0.46789286866731206,0.8735111341273951,0.2282541640962369,0.29204545454545455,0.0,0.0,0.25,0.9893083862345473,0.0,0.0,0.0,0.0
