accuracy,balanced_accuracy,precision_macro,recall_macro,f1_micro,f1_macro,class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,class_10_acc,class_11_acc,class_12_acc,class_13_acc,class_14_acc
0.3243930415284896,0.09933579657651799,0.05984271317149641,0.09933579657651799,0.3243930415284896,0.037577395837441366,0.40393800264998614,0.0,0.0006266645777847407,0.0,0.0,0.04626773596545342,0.03920454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9715857702743443,0.4935471312898267,0.5583166159862402,0.4935471312898267,0.9715857702743443,0.5170239529705135,0.9867676772123203,0.0,0.9630006788866259,0.9112616973217167,0.8884573335634962,0.9161011721159777,0.7664772727272727,0.5115702479338843,0.0,0.0,0.9629761109254928,0.4965947786606129,0.0,0.0,0.0
0.9762386474977389,0.5570789988924097,0.6700913823236299,0.5570789988924097,0.9762386474977389,0.5776288128989117,0.9881220167480298,0.011666666666666667,0.9765784114052953,0.947079703130042,0.9074889234133149,0.9450956199876619,0.865909090909091,0.5024793388429752,0.0,0.375,0.9672986969595724,0.8694665153234961,0.0,0.0,0.0
0.9786198466234549,0.6283742303235439,0.7622834871483586,0.6283742303235439,0.9786198466234549,0.6498390162184535,0.9900691549537572,0.32,0.977779518512716,0.9515972894482091,0.9068128200701997,0.974090067859346,0.9130681818181818,0.9384297520661157,0.5,0.0,0.9489642499164718,0.9687854710556186,0.036016949152542374,0.0,0.0
0.9800612846698824,0.6597558569861373,0.7820839891061261,0.6597558569861373,0.9800612846698824,0.6880737460283057,0.9910155785729693,0.37333333333333335,0.982505613870176,0.9506292352371732,0.9127826687381322,0.9765576804441702,0.9329545454545455,0.9801652892561984,0.5,0.375,0.9461034079518877,0.9392735527809307,0.036016949152542374,0.0,0.0
0.9838862771329515,0.6675067238774199,0.7880381404974094,0.6675067238774199,0.9838862771329515,0.691242733051937,0.9870582072535667,0.37333333333333335,0.9842550524831584,0.952242658922233,0.9930375740836642,0.9747069710055521,0.9318181818181818,0.9801652892561984,0.5,0.375,0.9510733377881724,0.9738933030646992,0.036016949152542374,0.0,0.0
0.9848248605667772,0.6709556104672403,0.8766198599995741,0.6709556104672403,0.9848248605667772,0.6968668927984755,0.9885944948959154,0.355,0.9859261580239177,0.9641819941916747,0.978709937280626,0.9784083898827884,0.946590909090909,0.9805785123966942,0.5,0.375,0.9639575676578683,0.9733257661748014,0.036016949152542374,0.0,0.03804347826086957
0.9849049404582454,0.6716930275294445,0.876094996949584,0.6716930275294445,0.9849049404582454,0.6979771519899394,0.9874881330216738,0.37333333333333335,0.9989555590370255,0.9696676347208777,0.9905489383738996,0.9759407772979642,0.95,0.9809917355371901,0.5,0.375,0.9538924156364851,0.945516458569807,0.036016949152542374,0.0,0.03804347826086957
0.9823612262586675,0.6611863204097462,0.8061172836886786,0.6611863204097462,0.9823612262586675,0.6941345817368517,0.9910845427746793,0.36333333333333334,0.988955036816544,0.9567602452404002,0.9304188963691812,0.9703886489821099,0.959659090909091,0.9392561983471074,0.5,0.375,0.9557300367524223,0.9511918274687855,0.036016949152542374,0.0,0.0
0.9849685333132349,0.7161529817645089,0.8892300616894698,0.7161529817645089,0.9849685333132349,0.7314720423128237,0.9865607846071902,0.37333333333333335,0.9981200062666458,0.9674088415617941,0.9933540479889522,0.9777914867365823,0.9482954545454545,0.9818181818181818,1.0,0.5,0.9636861009021049,0.9778660612939841,0.036016949152542374,0.0,0.03804347826086957
